Country name,Country code,2012 population,Region,2000 GDP,2012 GDP
Afghanistan,AFG,29824536,Asia,,687
Angola,AGO,20820525,Africa,656,5482
Argentina,ARG,41086927,S America,7701,11573
Australia,AUS,22683600,Oceania,21678,67556
Belgium,BEL,11142157,Europe,22697,43372
Benin,BEN,10050702,Africa,339,752
Burkina Faso,BFA,16460141,Africa,225,634
Bangladesh,BGD,154695368,Asia,356,752
Bolivia,BOL,10496285,S America,989,2576
Brazil,BRA,198656019,S America,3694,11340
Canada,CAN,34880491,N America,23560,52219
Chile,CHL,17464814,S America,5133,15452
China,CHN,1350695000,Asia,949,6091
Cote d'Ivoire,CIV,19839750,Africa,646,1244
Cameroon,CMR,21699631,Africa,583,1167
Colombia,COL,47704427,S America,2504,7748
Cuba,CUB,11270957,N America,2744,
Czech Republic,CZE,10514810,Europe,5725,18683
Germany,DEU,81889839,Europe,22946,41863
Dominican Republic,DOM,10276621,N America,2770,5746
Algeria,DZA,38481705,Africa,1727,5348
Ecuador,ECU,15492264,S America,1462,5425
"Egypt, Arab Rep.",EGY,80721874,Africa,1510,3256
Spain,ESP,46217961,Europe,14414,28624
Ethiopia,ETH,91728849,Africa,123,454
France,FRA,65696689,Europe,21775,39772
United Kingdom,GBR,63227526,Europe,25362,39093
Ghana,GHA,25366462,Africa,265,1605
Guinea,GIN,11451273,Africa,342,492
Greece,GRC,11280167,Europe,11396,22083
Guatemala,GTM,15082831,N America,1722,3331
Haiti,HTI,10173775,N America,427,771
Indonesia,IDN,246864191,Asia,790,3557
India,IND,1236686732,Asia,457,1489
"Iran, Islamic Rep.",IRN,76424443,Asia,1537,
Iraq,IRQ,32578209,Asia,1086,6455
Italy,ITA,60917978,Europe,19388,33072
Japan,JPN,127561489,Asia,37292,46720
Kazakhstan,KAZ,16797459,Asia,1229,12116
Kenya,KEN,43178141,Africa,406,943
Cambodia,KHM,14864646,Asia,299,944
"Korea, Rep.",KOR,50004000,Asia,11347,22590
Sri Lanka,LKA,20328000,Asia,855,2923
Morocco,MAR,32521143,Africa,1276,2902
Madagascar,MDG,22293914,Africa,246,447
Mexico,MEX,120847477,N America,6664,9749
Mali,MLI,14853572,Africa,236,694
Myanmar,MMR,52797319,Asia,,
Mozambique,MOZ,25203395,Africa,236,565
Malawi,MWI,15906483,Africa,154,268
Malaysia,MYS,29239927,Asia,4005,10432
Niger,NER,17157042,Africa,164,395
Nigeria,NGA,168833776,Africa,378,1555
Netherlands,NLD,16767705,Europe,24180,45955
Nepal,NPL,27474377,Asia,237,690
Pakistan,PAK,179160111,Asia,514,1257
Peru,PER,29987800,S America,2050,6796
Philippines,PHL,96706764,Asia,1043,2587
Poland,POL,38542737,Europe,4454,12708
"Korea, Dem. Rep.",PRK,24763188,Asia,,
Portugal,PRT,10526703,Europe,11471,20165
Romania,ROU,21326905,Europe,1651,9036
Russian Federation,RUS,143533000,Europe,1775,14037
Rwanda,RWA,11457801,Africa,207,620
Saudi Arabia,SAU,28287855,Asia,9354,25136
Sudan,SDN,37195349,Africa,356,1580
Senegal,SEN,13726021,Africa,475,1023
Somalia,SOM,10195134,Africa,,
South Sudan,SSD,10837527,Africa,,943
Syrian Arab Republic,SYR,22399254,Asia,1180,3289
Chad,TCD,12448175,Africa,167,1035
Thailand,THA,66785001,Asia,1969,5480
Tunisia,TUN,10777500,Africa,2245,4237
Turkey,TUR,73997128,Asia,4220,10666
Tanzania,TZA,47783107,Africa,308,609
Uganda,UGA,36345860,Africa,255,547
Ukraine,UKR,45593300,Europe,636,3867
United States,USA,313914040,N America,36467,51749
Uzbekistan,UZB,29776850,Asia,558,1717
"Venezuela, RB",VEN,29954782,S America,4800,12729
Vietnam,VNM,88775500,Asia,433,1755
"Yemen, Rep.",YEM,23852409,Asia,550,1494
South Africa,ZAF,51189307,Africa,3020,7508
"Congo, Dem. Rep.",COD,65705093,Africa,92,262
Zambia,ZMB,14075099,Africa,322,1469
Zimbabwe,ZWE,13724317,Africa,535,714
