Table,PrimaryKey,ForeignKey,Name,Description,Type (value set),Availability,Completeness
Account,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Account,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Account,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Account,0,,ServiceStartDateTime,The date and time that the earliest service or encounter associated with this account started.,DateTime,TDM,n/a
Account,0,,ServiceEndDateTime,The date and time that the last service or encounter associated with this account ended.,DateTime,TDM,n/a
Account,0,,StatusConceptId,"Truveta concept identifier for the status of the account indicating whether the account is currently used/useable, such as active, inactive, on hold, or entered in error.",integer (Account Status),TDM,n/a
Account,0,,BillingStatusConceptId,"Truveta concept identifier for the status of the account within the lifecycle of the billing process, such as open, billing, and closed and completed.",integer (Billing Status),TDM,n/a
Account,0,,BillingTypeConceptId,"Truveta concept identifier for the category of billing applicable to charges linked to the account, such as professional or institutional billing.",integer (Billing Type),TDM,n/a
Account,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,TDM,n/a
AccountCoverage,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Account,AccountId,The id of the Account associated with this event.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Coverage,CoverageId,The id of the Coverage applied to the Account.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,,CoveragePriorityConceptId,"Truveta concept identifier for the priority order of the Coverage applied to the Account, such as primary or secondary.",integer (Coverage Priority),TDM,n/a
AccountEncounter,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Account,AccountId,The id of the Account used to bill the Encounter.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Encounter,PrimaryEncounterId,The id of the primary Encounter of which the Encounter is a part.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,,PrimaryEncounterFlagConceptId,Truveta concept identifier for whether the Encounter is a primary Encounter.,integer (Yes No Indicator),TDM,n/a
