MSDRG,CONDITIONDESCRIPTION,MSDRGDESCRIPTION
011,Acute viral pharyngitis (disorder),"Tracheostomy for face, mouth and neck"
011,Streptococcal sore throat (disorder),"Tracheostomy for face, mouth and neck"
011,Whiplash injury to neck,"Tracheostomy for face, mouth and neck"
056,Alzheimer's disease (disorder),Degenerative nervous system disorders with mcc
056,Familial Alzheimer's disease of early onset (disorder),Degenerative nervous system disorders with mcc
071,Stroke,Nonspecific cerebrovascular disorders with cc
073,Neuropathy due to type 2 diabetes mellitus (disorder),Cranial and peripheral nerve disorders with mcc
073,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),Cranial and peripheral nerve disorders with mcc
088,Concussion injury of brain,Concussion with mcc
088,Concussion with loss of consciousness,Concussion with mcc
088,Concussion with no loss of consciousness,Concussion with mcc
091,Chronic pain,Other disorders of nervous system with mcc
100,Epilepsy,Seizures with mcc
100,History of single seizure (situation),Seizures with mcc
100,Seizure disorder,Seizures with mcc
102,Chronic intractable migraine without aura,Headaches with mcc
124,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),Other disorders of the eye with mcc
124,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),Other disorders of the eye with mcc
152,Acute bacterial sinusitis (disorder),Otitis media and uri with mcc
152,Chronic sinusitis (disorder),Otitis media and uri with mcc
152,Otitis media,Otitis media and uri with mcc
152,Perennial allergic rhinitis,Otitis media and uri with mcc
152,Perennial allergic rhinitis with seasonal variation,Otitis media and uri with mcc
152,Seasonal allergic rhinitis,Otitis media and uri with mcc
152,Sinusitis (disorder),Otitis media and uri with mcc
152,Viral sinusitis (disorder),Otitis media and uri with mcc
157,Impacted molars,Dental and oral diseases with mcc
177,Pneumonia,Respiratory infections and inflammations with mcc
180,Suspected lung cancer (situation),Respiratory neoplasms with mcc
182,Non-small cell carcinoma of lung TNM stage 1 (disorder),Respiratory neoplasms without ccmcc
182,Non-small cell lung cancer (disorder),Respiratory neoplasms without ccmcc
182,Small cell carcinoma of lung (disorder),Respiratory neoplasms without ccmcc
190,Chronic obstructive bronchitis (disorder),Chronic obstructive pulmonary disease with mcc
190,Pulmonary emphysema (disorder),Chronic obstructive pulmonary disease with mcc
202,Acute bronchitis (disorder),Bronchitis and asthma with ccmcc
202,Childhood asthma,Bronchitis and asthma with ccmcc
280,History of myocardial infarction (situation),"Acute myocardial infarction, discharged"
280,Myocardial Infarction,"Acute myocardial infarction, discharged"
291,Chronic congestive heart failure (disorder),Heart failure and shock with mcc
293,History of cardiac arrest (situation),Heart failure and shock without ccmcc
296,Cardiac Arrest,"Cardiac arrest, unexplained with mcc"
302,Coronary Heart Disease,Atherosclerosis with mcc
304,Hypertension,Hypertension with mcc
308,Atrial Fibrillation,Cardiac arrhythmia and conduction
